"geneSym","LTM_ori","LTM_abs"
"PTTG1 /// PTTG3P",0.776313325542873,0.776313325542873
"TMEM184A",0.776298005302978,0.776298005302978
"HDAC7",0.775672172067109,0.775672172067109
"ABCC5",0.775623206486301,0.775623206486301
"CCND2",-0.775420840893886,0.775420840893886
"EPHA1",0.775212327389207,0.775212327389207
"MXRA7",-0.774863815114628,0.774863815114628
"XRCC6BP1",0.774038024714627,0.774038024714627
"SMPD3",0.773807409732642,0.773807409732642
"ACADSB",0.773716125819889,0.773716125819889
"THAP6",0.77371296912068,0.77371296912068
"ATF1",0.77357633581337,0.77357633581337
"SLC5A6",-0.773558047900055,0.773558047900055
"FSTL4",-0.773493798582,0.773493798582
"TMEM234",0.773383713318659,0.773383713318659
"ISPD",-0.77331340119759,0.77331340119759
"GP1BB /// SEPT5 /// SEPT5-GP1BB",0.773246003272491,0.773246003272491
"USF1",0.772409590659673,0.772409590659673
"C16orf45",-0.772239173422098,0.772239173422098
"NFATC1",0.772232222184565,0.772232222184565
"CCDC50",-0.771737238397787,0.771737238397787
"IL13RA1",-0.77150106358518,0.77150106358518
"LCE1F",0.771353002985547,0.771353002985547
"HERC1",-0.77130080502707,0.77130080502707
"NPM3",-0.770999231795183,0.770999231795183
"TNNT1",0.770935378168414,0.770935378168414
"FAM13B",0.770630360454808,0.770630360454808
"ZFHX3",0.770193726136718,0.770193726136718
"RALGPS1",0.76973257561321,0.76973257561321
"DESI1",0.769585556599267,0.769585556599267
"DDX28",-0.769248329759368,0.769248329759368
"PALMD",0.768878393039728,0.768878393039728
"RIC8B",0.768741816315938,0.768741816315938
"CES4A",0.768612620624295,0.768612620624295
"SNRNP25",-0.768417844119828,0.768417844119828
"NUF2",0.76827686719379,0.76827686719379
"POT1",-0.76822727850352,0.76822727850352
"NFE2L3",0.768108802416181,0.768108802416181
"RTCA",0.767886764613794,0.767886764613794
"CD99L2",-0.76785559391259,0.76785559391259
"LNX1",0.767607890332013,0.767607890332013
"GLRX2",0.767333336930535,0.767333336930535
"SMO",0.767222818649525,0.767222818649525
"NAPEPLD",0.766900785139951,0.766900785139951
"TMEM216",0.766646438229579,0.766646438229579
"KIAA0556",0.765449827124803,0.765449827124803
"TTC27",-0.765116694786403,0.765116694786403
"NLRC5",-0.764999968714773,0.764999968714773
"WRN",-0.764489948650538,0.764489948650538
"HJURP",0.764355566308989,0.764355566308989
"EPCAM",-0.764162657547665,0.764162657547665
"DUSP18",-0.764135462844688,0.764135462844688
"ZNF224",0.764116376856129,0.764116376856129
"EPM2AIP1",0.764029781331634,0.764029781331634
"ZNF443 /// ZNF799",0.764022367354237,0.764022367354237
"CTSH",0.7640007396245,0.7640007396245
"FAM91A1 /// LINC00869",-0.763917141352985,0.763917141352985
"TPD52L1",0.763897893792581,0.763897893792581
"HSPA8",-0.763791149914421,0.763791149914421
"DENND2D",0.763704654650023,0.763704654650023
"IL20RA",0.763610915998096,0.763610915998096
"CKMT1A /// CKMT1B",-0.763379334220883,0.763379334220883
"TMEM40",0.763219756133942,0.763219756133942
"CHORDC1",0.763181683212979,0.763181683212979
"PKIG",0.763000865024133,0.763000865024133
"LRIG1",0.762905677527593,0.762905677527593
"IL23A",-0.762837104223349,0.762837104223349
"ANKRD17",-0.762812155051673,0.762812155051673
"TRMT6",-0.762811743123549,0.762811743123549
"MMAB",-0.762616769171224,0.762616769171224
"TRPC1",0.762538287216201,0.762538287216201
"GTPBP10 /// LOC101927446",-0.762518472077478,0.762518472077478
"C15orf52",0.761953073897126,0.761953073897126
"EFHD2",-0.761189134619277,0.761189134619277
"PPFIA3",0.761140863847847,0.761140863847847
"LOC100506548 /// RPL37",-0.761032334637839,0.761032334637839
"SNHG12 /// SNORA16A",0.760939805850493,0.760939805850493
"ATP2B1",0.760936612638875,0.760936612638875
"SDHA /// SDHAP3",-0.760875736075926,0.760875736075926
"CKAP2",0.760733266722569,0.760733266722569
"POLR2J3",-0.760389471213246,0.760389471213246
"NAGK",0.760028298606691,0.760028298606691
"FAM200A",-0.759507702971793,0.759507702971793
"TLL1",0.759210013264551,0.759210013264551
"DNAJB9",-0.759166551108581,0.759166551108581
"RNF144A",0.758367158103753,0.758367158103753
"TIPIN",-0.758325754355127,0.758325754355127
"RBM4B",0.758212479350672,0.758212479350672
"MRPL43",0.758192152427789,0.758192152427789
"EPHA4",0.75814452407859,0.75814452407859
"FILIP1L",0.758026418484815,0.758026418484815
"GNB5",0.757779111641776,0.757779111641776
"CAMKK1",-0.757559030127498,0.757559030127498
"STIP1",-0.757339687118788,0.757339687118788
"GPX8",-0.757203343090765,0.757203343090765
"DDX19B",-0.757169173504912,0.757169173504912
"CRY1",0.757155586995584,0.757155586995584
"FKBP1A-SDCBP2 /// SDCBP2",0.757052950815246,0.757052950815246
"NHLRC3",0.756517921069809,0.756517921069809
"RPP25L",0.756325461244368,0.756325461244368
"BTBD16",0.756223735747452,0.756223735747452
"APOM",-0.755936139538042,0.755936139538042
"SESN2",0.755718643192109,0.755718643192109
"SNN",-0.755673995008666,0.755673995008666
"ZNF180",-0.755614331754671,0.755614331754671
"CDC25B",-0.754866361770146,0.754866361770146
"PTRH1",0.754855001928872,0.754855001928872
"EEF1E1 /// EEF1E1-BLOC1S5",-0.754634876583602,0.754634876583602
"DYNLL2",-0.754603286893342,0.754603286893342
"ISG20L2",0.754379931405196,0.754379931405196
"ABCC4",-0.753874902638844,0.753874902638844
"IRF4",0.753661945842645,0.753661945842645
"LCE1A",0.753480793228896,0.753480793228896
"ABTB2",-0.753190637267884,0.753190637267884
"TENM2",-0.752876572816949,0.752876572816949
"TRAF5",-0.752530561407271,0.752530561407271
"RHOBTB3",0.752338974037724,0.752338974037724
"TEF",-0.752279777442089,0.752279777442089
"TRPM1",0.752191041310097,0.752191041310097
"TTC39B",0.752111394968234,0.752111394968234
"PMS1",0.751742503912794,0.751742503912794
"TLE1",-0.751329266905696,0.751329266905696
"MRI1",0.751188906360162,0.751188906360162
"DENND5B",-0.75109023741823,0.75109023741823
"CARNMT1",0.750927582240866,0.750927582240866
"CGN",0.750733187157039,0.750733187157039
"SCFD2",-0.750413842666694,0.750413842666694
"SLC28A3",0.750070792096481,0.750070792096481
"CIART",-0.749275041255222,0.749275041255222
"HSPA6 /// HSPA7",0.749048189419509,0.749048189419509
"SEMA6A",-0.748938079424264,0.748938079424264
"LCE1D",0.748830698373654,0.748830698373654
"ETV2",0.748819229518619,0.748819229518619
"CYP2E1",-0.748814691550794,0.748814691550794
"AGFG2",0.748798981732292,0.748798981732292
"BCHE",0.748133747891423,0.748133747891423
"IGFL2",-0.748038862101177,0.748038862101177
"GRHL3",0.74792765982155,0.74792765982155
"IQCJ-SCHIP1 /// SCHIP1",0.747636970405144,0.747636970405144
"FAM21A /// FAM21C",-0.747531052059099,0.747531052059099
"AQP5",0.74746749927047,0.74746749927047
"MIA",0.747383365854996,0.747383365854996
"STIL",0.746977770293359,0.746977770293359
"GADD45A",0.746753515046783,0.746753515046783
"ING5",-0.74660465686079,0.74660465686079
"TDRD6",0.746136883079762,0.746136883079762
"GJB6",0.746094876272347,0.746094876272347
"LOC105372733",0.745978414375992,0.745978414375992
"OCIAD2",-0.745424060085956,0.745424060085956
"LBH",-0.745361593097764,0.745361593097764
"PPM1J",0.745167694926084,0.745167694926084
"BARX2",0.745142208146655,0.745142208146655
"PIK3C2G",-0.744920061130011,0.744920061130011
"NADSYN1",0.744905265396718,0.744905265396718
"EXO1",0.744885607709853,0.744885607709853
"BAX",-0.744874321952305,0.744874321952305
"PANK3",-0.7446511016674,0.7446511016674
"SATB1",0.744600317069251,0.744600317069251
"DGKD",0.744435055897453,0.744435055897453
"HAUS5",-0.744288429781408,0.744288429781408
"LY6G6C",0.743822232206999,0.743822232206999
"ATF7",-0.743797127708297,0.743797127708297
"GK",0.743643512764745,0.743643512764745
"FARP1",-0.743371028960927,0.743371028960927
"HR",0.743333114163349,0.743333114163349
"ZNF502",0.742919690307612,0.742919690307612
